tconst,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1122836,Alien Trespass,0,2009,\N,90,"Comedy,Horror,Sci-Fi",5.7,3761.0
tt11228386,Limp,0,2019,\N,10,"Horror,Short",7.4,5.0
tt11229134,Durgamati: The Myth,0,2020,\N,155,"Horror,Thriller",3.8,4725.0
tt11230050,Solar Impact,0,2019,\N,86,"Horror,Sci-Fi",3.3,292.0
tt11235086,The Desert Stalker,0,2019,\N,67,Horror,2.6,14.0
tt11236088,One Night at Flumpty's,0,2015,\N,\N,"Comedy,Horror",7.3,6.0
tt11236092,One Night at Flumpty's 2,0,2015,\N,\N,"Comedy,Horror",7.7,6.0
tt11237526,Upyri,0,2019,\N,77,Horror,3.6,18.0
tt11238786,Ozymandias,0,2019,\N,4,"Horror,Short",7.9,7.0
tt1124034,Eternal,0,2012,\N,\N,Horror,5.3,6.0
tt1124040,Infected,0,2008,\N,90,"Adventure,Horror,Sci-Fi",3.9,879.0
tt11240432,The Thinning Veil,0,2019,\N,9,"Horror,Short",4.9,109.0
tt11240450,Werewolf,0,2020,\N,10,"Comedy,Horror,Short",6.6,20.0
tt1124048,The Last Resort,0,2009,\N,75,"Horror,Thriller",3.0,1280.0
tt11240506,W lesie dzis nie zasnie nikt,0,2020,\N,102,"Horror,Thriller",4.8,7018.0
tt11241510,Eerie Fairy Tales,0,2019,\N,92,"Fantasy,Horror",6.7,346.0
tt11242218,Books of Blood,0,2020,\N,107,"Drama,Horror,Mystery",5.6,4586.0
tt11242242,The Bridge Curse,0,2020,\N,88,"Horror,Mystery,Thriller",5.3,1072.0
tt11242576,The Jester: Chapter 3,0,2019,\N,14,"Horror,Short",6.7,52.0
tt11243194,Algorithm,0,2020,\N,10,"Drama,Horror,Sci-Fi",7.8,80.0
tt11243342,Invasion,0,2019,\N,64,"Drama,Fantasy,Horror",7.8,155.0
tt1124375,You Belong to Me,0,2008,\N,89,"Crime,Horror,Mystery",4.2,348.0
tt1124394,Sauna,0,2008,\N,83,Horror,6.3,6794.0
tt11246686,Tattletail,0,2016,\N,\N,Horror,7.5,10.0
tt11247712,Apsulov: End of Gods,0,2019,\N,\N,Horror,7.7,12.0
tt11248922,The Tale of the Fallen Sea Queen,0,2019,\N,41,"Drama,Fantasy,Horror",7.9,219.0
tt11249930,Slumber Party Massacre II (1987),0,2019,\N,\N,"Comedy,Horror",8.4,13.0
tt11250368,From the Dark,0,2020,\N,92,"Horror,Mystery,Thriller",4.2,78.0
tt11250416,Casa,0,2019,\N,\N,"Fantasy,Horror,Mystery",6.8,12.0
tt11251232,Fitting Room,0,2019,\N,\N,"Animation,Horror,Short",5.8,5.0
tt11251234,Refrigerator,0,2019,\N,\N,"Animation,Horror,Short",6.3,6.0
tt11252208,Transmissions,0,2015,2015,5,"Horror,Sci-Fi,Short",6.9,7.0
tt11252440,Psycho Goreman,0,2020,\N,95,"Comedy,Horror,Sci-Fi",6.2,4381.0
tt11252938,Eden,0,2019,\N,6,"Horror,Short",6.2,8.0
tt11252952,Undha..Ledha..?,0,2017,\N,130,"Horror,Thriller",7.9,11.0
tt11252960,Ghosts,0,2020,\N,21,"Comedy,Fantasy,Horror",8.1,1141.0
tt1125351,Lonely Joe,0,2009,\N,95,"Drama,Horror,Mystery",3.5,172.0
tt11254368,Noturnos,0,2020,\N,\N,Horror,5.4,7.0
tt11255224,Zombieland: Double Tap - Road Trip,0,2019,\N,\N,"Action,Comedy,Horror",5.4,38.0
tt11255486,Psycho-Therapy,0,2019,\N,72,Horror,4.3,36.0
tt11257628,Sharon Needles: Monster Mash,0,2019,\N,3,"Horror,Music,Short",6.6,7.0
tt1125800,The Devil's Music,0,2008,\N,97,"Drama,Horror",4.2,106.0
tt1125924,By the Devil's Hands,0,2009,\N,91,Horror,3.8,60.0
tt11261112,Tía Madré,0,2019,\N,90,Horror,6.2,12.0
tt11261646,Spirit #1,0,2019,\N,5,"Horror,Short",3.6,14.0
tt11263640,Um Fio de Baba Escarlate,0,2020,\N,59,"Comedy,Horror",6.4,18.0
tt11265746,The Doll Comes Home 2,0,2020,\N,102,Horror,5.5,12.0
tt11269390,The Long Reach,0,2018,\N,\N,Horror,5.0,6.0
tt1127180,Drag Me to Hell,0,2009,\N,99,Horror,6.5,188606.0
tt11272090,Ghosts from the Battlefield,0,2019,\N,42,"Documentary,Horror",6.5,17.0
tt1127215,The Devil's Mercy,0,2008,\N,90,"Horror,Thriller",3.4,285.0
tt1127221,Not Forgotten,0,2009,\N,96,"Horror,Thriller",4.8,2523.0
tt1127228,Zombthology,0,2008,\N,103,Horror,4.9,87.0
tt11272898,Let It Snow,0,2020,\N,87,"Horror,Thriller",4.4,695.0
tt11274434,Spook Train: Room Two - Cell X,0,2017,\N,10,"Horror,Short",5.9,9.0
tt11277890,Grave Secrets,0,2019,\N,42,"Horror,Mystery",8.7,15.0
tt11277896,Bloodline,0,2019,\N,42,"Horror,Mystery",9.0,13.0
tt11278148,Unidentified,0,2019,\N,\N,"Horror,Short",5.1,8.0
tt11278252,Madison Seminary,0,2019,\N,42,"Horror,Reality-TV",8.1,25.0
tt11278268,West Virginia State Penitentiary,0,2019,\N,42,"Horror,Reality-TV",8.1,23.0
tt11278270,Fairfield County Infirmary,0,2019,\N,42,"Horror,Reality-TV",7.9,21.0
tt11278274,Pennhurst State School,0,2019,\N,42,"Horror,Reality-TV",7.3,19.0
tt11278336,Scared Stiff (Oregon) - Part 1,0,2020,\N,8,"Drama,Horror,Short",7.1,117.0
tt11278842,Ding... You're Dead,0,2019,\N,5,"Comedy,Horror,Short",9.3,27.0
tt11280782,Cubicle,0,2019,\N,4,"Horror,Short",8.0,8.0
tt11281366,Encountering Evil,0,2019,\N,42,Horror,8.4,5.0
tt11281382,Unreal Estate,0,2019,\N,42,Horror,6.3,6.0
tt11284280,Kadaver,0,2020,\N,86,"Drama,Horror,Thriller",5.1,6977.0
tt11285186,Ichabod - Sketches from Sleepy Hollow,0,2014,\N,8,"Horror,Short",5.6,7.0
tt11285292,The Path of Shadows,0,2019,\N,42,"Drama,Fantasy,Horror",8.0,211.0
tt11285470,The Expecting,0,2020,\N,\N,Horror,5.8,313.0
tt11285812,Nightmare Side: Delusional,0,2019,\N,100,Horror,5.9,7.0
tt11288248,Slumber Party Massacre III (1990),0,2019,\N,\N,"Comedy,Horror",8.0,13.0
tt11290884,Bunker of Blood: Chapter 8: Butcher's Bake Off: Hell's Kitchen,0,2019,\N,70,"Comedy,Fantasy,Horror",2.4,14.0
tt11291334,Suraya,0,2020,\N,82,"Horror,Thriller",5.9,20.0
tt1129412,Circle,0,2010,\N,88,"Horror,Thriller",3.3,633.0
tt1129415,The Daisy Chain,0,2008,\N,89,"Drama,Horror,Thriller",5.1,1369.0
tt1129428,Mum & Dad,0,2008,\N,84,"Horror,Thriller",5.9,5787.0
tt1129441,ThanksKilling,0,2009,\N,70,"Comedy,Horror,Thriller",4.2,4203.0
tt11295868,Carolina Grindhouse: Anderson's Own Horror Movie,0,2019,\N,91,Horror,6.4,13.0
tt11296826,Têtard,0,2019,\N,14,"Animation,Horror,Short",7.1,35.0
tt11297302,Spooky Month - The Stars,0,2019,\N,\N,"Animation,Comedy,Horror",9.6,22.0
tt11300158,Boggy Creek - The Bigfoot Series,0,2019,\N,\N,Horror,6.9,36.0
tt11300978,Presente,0,2018,\N,7,"Horror,Short",4.6,5.0
tt11302140,Fire,0,2019,\N,\N,"Animation,Comedy,Horror",9.3,12.0
tt11304064,Gece Gelenler,0,2019,\N,80,Horror,3.6,8.0
tt11304426,The Killer of Grassy Ridge,0,2020,\N,9,"Horror,Short",9.1,7.0
tt11305148,The Tree of Flesh,0,2019,\N,11,"Animation,Comedy,Horror",8.2,71.0
tt11305218,Bed and Breakfast,0,2019,\N,8,"Horror,Short",9.4,5.0
tt11305630,Midnight Kiss,0,2019,\N,89,"Drama,Fantasy,Horror",4.8,928.0
tt11310884,Historia de lo Oculto,0,2020,\N,82,Horror,6.8,228.0
tt11311942,Maggy,0,2019,\N,151,Horror,3.5,6.0
tt11312220,Coven,0,2019,\N,14,"Horror,Short",2.8,5.0
tt11316314,Killer Waves 2,0,2020,\N,\N,Horror,7.2,6.0
tt11316596,End Survival,0,2019,\N,82,Horror,2.7,10.0
tt11316604,Army of the Undead,0,2019,\N,42,Horror,8.4,7.0
tt1131734,Jennifer's Body,0,2009,\N,102,"Comedy,Horror",5.2,116896.0
tt1131742,Mutants,0,2008,\N,83,"Action,Horror,Sci-Fi",2.3,557.0
tt1131743,Necrosis,0,2009,\N,90,"Horror,Thriller",3.2,961.0
tt11317868,Hot. Hot. Hot.,0,2019,\N,45,"Horror,Sci-Fi",8.1,32.0
